,video_x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,MOS_x,content,resolution,bitrate,bitrate_mu,AQ,is_AQ_test,level,reference,video_y,MOS_y,DMOS
129,AERO-00h13m10s_res2160_mu3000_sigma300_rate2852_aqOff.yuv,49,41,44,63,38,31,36,40,63,46,76,58,74,37,35,57,55,47,6,43,44,37,59,34,40,80,45,50,53,42,52,45,65,46,35,65,52,48.18918919,AERO-00h13m10s,2160p,2852,3000,Off,TRUE,2160p_3000,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,22.89189189
130,AERO-00h13m10s_res2160_mu1000_sigma100_rate1006_aqOn.yuv,34,28,18,29,,31,1,38,33,26,30,39,50,36,10,31,12,26,2,35,30,16,41,28,32,50,26,41,5,16,17,41,48,38,34,3,43,28.27777778,AERO-00h13m10s,2160p,1006,1000,On,TRUE,2160p_1000,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,42.8033033
131,AERO-00h13m10s_res2160_mu11200_sigma300_rate11201_aqOn.yuv,76,100,56,76,,67,80,79,77,63,89,74,94,59,93,50,70,77,95,75,81,64,74,58,73,89,74,63,63,83,65,97,81,79,73,60,86,75.36111111,AERO-00h13m10s,2160p,11201,11200,On,TRUE,2160p_11200,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,-4.28003003
132,AERO-00h13m10s_res720_mu1500_sigma100_rate1573_aqOff.yuv,76,61,43,54,49,40,42,37,70,67,61,54,56,44,4,34,42,49,47,78,38,39,60,43,58,64,46,61,39,46,53,70,62,61,37,67,62,51.72972973,AERO-00h13m10s,720p,1573,1500,Off,TRUE,720p_1500,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.08108108,19.35135135
133,BTFB-01h12m21s_res1080_mu500_sigma100_rate269_aqOn.yuv,49,1,7,21,5,17,6,72,18,36,34,29,43,30,25,19,9,11,2,23,1,2,23,60,48,19,22,28,2,14,13,8,33,13,18,9,13,21.16216216,BTFB-01h12m21s,1080p,269,500,On,TRUE,1080p_500,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,49.48648649
134,BTFB-01h12m21s_res2160_mu3000_sigma300_rate3219_aqOff.yuv,86,74,45,71,70,58,38,45,70,70,97,71,85,49,75,49,58,80,66,71,74,49,50,66,78,78,53,65,71,61,66,96,82,85,68,48,81,67.54054054,BTFB-01h12m21s,2160p,3219,3000,Off,TRUE,2160p_3000,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,3.108108108
135,BTFB-01h12m21s_res720_mu1500_sigma100_rate1624_aqOn.yuv,50,61,48,48,55,71,46,84,78,70,64,67,68,59,32,54,60,82,49,56,61,60,75,60,77,49,56,61,54,46,58,64,77,91,60,61,62,61.45945946,BTFB-01h12m21s,720p,1624,1500,On,TRUE,720p_1500,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,9.189189189
136,BTFB-01h12m21s_res600_mu800_sigma50_rate806_aqOn.yuv,75,61,32,60,,61,26,55,57,69,75,46,50,41,52,42,34,69,31,60,37,31,53,65,72,51,58,46,40,49,46,57,75,60,63,38,45,52.27777778,BTFB-01h12m21s,600p,806,800,On,TRUE,600p_800,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,18.37087087
137,BTFB-01h12m21s_res2160_mu11200_sigma300_rate10755_aqOn.yuv,50,96,51,87,78,88,84,94,78,71,83,72,88,74,94,71,72,87,69,76,89,75,86,66,81,74,64,74,77,66,81,97,75,100,62,91,62,77.91891892,BTFB-01h12m21s,2160p,10755,11200,On,TRUE,2160p_11200,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,-7.27027027
138,BTFB-01h12m21s_res1080_mu1200_sigma100_rate1238_aqOn.yuv,86,85,54,60,53,73,33,69,71,74,78,69,74,52,58,66,57,99,25,65,60,47,84,56,68,81,50,58,44,67,55,89,81,96,40,64,77,65.35135135,BTFB-01h12m21s,1080p,1238,1200,On,TRUE,1080p_1200,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,5.297297297
139,BTFB-01h12m21s_res2160_mu1000_sigma100_rate922_aqOn.yuv,71,25,15,54,8,32,24,32,27,45,82,43,71,42,31,31,30,58,10,42,36,29,12,48,36,51,39,61,45,40,36,15,73,40,45,23,31,38.72972973,BTFB-01h12m21s,2160p,922,1000,On,TRUE,2160p_1000,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,31.91891892
140,BTFB-01h12m21s_res720_mu1500_sigma100_rate1624_aqOff.yuv,79,45,53,64,,56,48,55,79,46,79,62,60,31,50,51,49,76,57,58,50,61,99,63,82,46,70,59,70,62,57,69,38,83,64,51,70,60.88888889,BTFB-01h12m21s,720p,1624,1500,Off,TRUE,720p_1500,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,9.75975976
141,BTFB-01h12m21s_res1080_mu5400_sigma300_rate4777_aqOn.yuv,81,73,43,71,75,79,74,96,78,63,74,60,81,66,82,72,94,92,51,76,51,69,86,60,74,78,61,73,68,66,73,84,79,64,60,74,75,72.32432432,BTFB-01h12m21s,1080p,4777,5400,On,TRUE,1080p_5400,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,-1.675675676
142,BTFB-01h12m21s_res2160_mu3000_sigma300_rate3219_aqOn.yuv,81,67,54,77,49,61,60,50,64,51,89,72,87,43,83,77,46,91,67,75,76,60,80,60,64,83,69,65,57,75,37,89,87,86,46,82,73,68.45945946,BTFB-01h12m21s,2160p,3219,3000,On,TRUE,2160p_3000,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,2.189189189
144,BTFB-01h12m21s_res600_mu800_sigma50_rate806_aqOff.yuv,73,49,49,62,43,51,32,90,58,49,77,50,58,52,38,50,30,88,29,54,27,49,88,39,82,50,47,64,45,49,49,53,72,70,23,51,67,54.24324324,BTFB-01h12m21s,600p,806,800,Off,TRUE,600p_800,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,16.40540541
145,BTFB-01h12m21s_res1080_mu1200_sigma100_rate1238_aqOff.yuv,83,94,50,66,,46,87,79,81,68,86,69,78,61,67,51,44,86,52,69,49,73,50,63,81,73,77,56,55,39,55,67,83,78,66,54,78,67.05555556,BTFB-01h12m21s,1080p,1238,1200,Off,TRUE,1080p_1200,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.64864865,3.593093093
146,HERO-00h02m40s_res2160_mu11200_sigma300_rate11398_aqOn.yuv,77,74,31,77,78,89,63,61,70,74,77,78,90,66,93,63,89,90,74,77,85,74,59,60,81,80,82,72,60,75,81,92,96,83,59,94,93,76.13513514,HERO-00h02m40s,2160p,11398,11200,On,TRUE,2160p_11200,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,-3.190690691
147,HERO-00h02m40s_res2160_mu3000_sigma300_rate3089_aqOff.yuv,84,60,39,59,44,39,39,35,61,58,70,65,87,49,63,52,63,85,26,67,77,61,81,61,71,73,52,50,44,50,62,78,79,69,53,72,95,61.43243243,HERO-00h02m40s,2160p,3089,3000,Off,TRUE,2160p_3000,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,11.51201201
148,HERO-00h02m40s_res600_mu800_sigma50_rate831_aqOff.yuv,63,41,22,59,36,42,33,75,61,66,74,59,46,46,39,34,31,64,24,42,28,29,49,43,39,40,31,45,44,36,54,62,61,34,55,33,44,45.51351351,HERO-00h02m40s,600p,831,800,Off,TRUE,600p_800,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,27.43093093
149,HERO-00h02m40s_res2160_mu1000_sigma100_rate964_aqOn.yuv,66,33,27,52,,43,22,43,48,43,85,50,45,37,19,32,23,54,11,40,46,9,54,56,40,37,30,38,28,31,27,66,54,35,60,26,34,40.11111111,HERO-00h02m40s,2160p,964,1000,On,TRUE,2160p_1000,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,32.83333333
151,HERO-00h02m40s_res600_mu800_sigma50_rate831_aqOn.yuv,68,35,41,44,29,44,34,33,51,71,74,50,74,50,26,42,17,49,42,56,26,38,61,37,61,41,34,61,41,27,54,44,30,34,36,29,42,43.94594595,HERO-00h02m40s,600p,831,800,On,TRUE,600p_800,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,28.9984985
152,HERO-00h02m40s_res1080_mu1200_sigma100_rate1179_aqOn.yuv,49,50,25,55,30,39,27,82,51,64,74,66,45,18,33,52,42,65,30,54,42,42,74,41,79,61,46,32,42,36,41,34,41,42,53,29,54,47.02702703,HERO-00h02m40s,1080p,1179,1200,On,TRUE,1080p_1200,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,25.91741742
153,HERO-00h02m40s_res1080_mu5400_sigma300_rate5608_aqOn.yuv,73,73,58,72,68,64,76,41,75,75,94,55,82,65,40,70,48,90,60,71,48,66,49,63,85,80,63,72,68,71,89,76,51,65,33,61,79,66.72972973,HERO-00h02m40s,1080p,5608,5400,On,TRUE,1080p_5400,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,6.214714715
154,HERO-00h02m40s_res720_mu1500_sigma100_rate1433_aqOff.yuv,67,67,38,46,18,60,30,56,74,65,81,,68,59,47,40,51,79,49,60,47,49,63,63,46,42,47,43,39,50,40,67,66,46,54,32,60,53.02777778,HERO-00h02m40s,720p,1433,1500,Off,TRUE,720p_1500,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,19.91666667
155,HERO-00h02m40s_res720_mu1500_sigma100_rate1433_aqOn.yuv,74,64,27,65,38,41,10,61,61,68,82,58,43,41,43,49,39,54,71,46,45,42,74,61,72,72,51,48,41,33,56,59,63,49,37,39,68,52.56756757,HERO-00h02m40s,720p,1433,1500,On,TRUE,720p_1500,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,20.37687688
156,HERO-00h02m40s_res1080_mu1200_sigma100_rate1179_aqOff.yuv,67,49,7,51,26,32,28,38,51,62,92,68,49,49,26,29,20,65,50,65,25,41,65,36,54,38,37,36,47,40,50,45,57,15,36,25,77,44.54054054,HERO-00h02m40s,1080p,1179,1200,Off,TRUE,1080p_1200,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,28.4039039
157,HERO-00h02m40s_res2160_mu3000_sigma300_rate3089_aqOn.yuv,72,70,21,63,83,78,44,67,63,70,71,64,75,61,68,47,48,92,69,43,69,54,88,64,90,71,77,64,55,59,60,67,67,49,66,56,94,65.37837838,HERO-00h02m40s,2160p,3089,3000,On,TRUE,2160p_3000,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,7.566066066
158,HERO-00h02m40s_res1080_mu500_sigma100_rate580_aqOn.yuv,56,37,35,49,13,51,14,38,57,67,75,50,49,36,32,27,31,49,34,45,43,32,37,39,36,40,41,46,28,29,27,57,49,49,44,22,42,40.7027027,HERO-00h02m40s,1080p,580,500,On,TRUE,1080p_500,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.94444444,32.24174174
159,CHMA-302_res720_mu1500_sigma300_rate1113_aqOn.yuv,49,63,35,69,56,49,30,57,55,57,88,48,71,44,4,39,12,49,48,39,37,48,63,64,51,56,70,33,33,45,63,38,42,71,65,50,64,50.13513514,CHMA-302,720p,1113,1500,On,FALSE,720p_1500,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,29
160,CHMA-302_res1080_mu5400_sigma300_rate5415_aqOn.yuv,49,94,50,68,,89,48,38,78,74,90,62,81,64,46,73,63,86,68,58,100,45,100,73,95,86,75,76,75,61,87,74,75,81,59,55,92,71.88888889,CHMA-302,1080p,5415,5400,On,FALSE,1080p_5400,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,7.246246246
161,CHMA-302_res2160_mu11200_sigma300_rate11021_aqOn.yuv,49,83,51,82,,87,73,69,81,78,84,80,93,70,72,67,52,84,86,65,84,57,84,49,90,91,86,80,60,86,84,95,79,77,56,78,85,75.75,CHMA-302,2160p,11021,11200,On,FALSE,2160p_11200,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,3.385135135
162,CHMA-302_res1080_mu1200_sigma100_rate962_aqOn.yuv,60,37,17,41,,43,40,37,33,68,77,46,72,31,9,48,36,38,10,62,41,42,66,41,78,42,45,42,42,42,45,33,80,59,69,63,59,47.05555556,CHMA-302,1080p,962,1200,On,FALSE,1080p_1200,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,32.07957958
163,CHMA-302_res2160_mu1000_sigma100_rate974_aqOn.yuv,28,26,5,32,16,15,27,27,35,49,31,61,35,32,16,15,20,49,6,38,10,15,16,43,45,61,39,34,20,18,18,55,23,67,48,13,27,30.13513514,CHMA-302,2160p,974,1000,On,FALSE,2160p_1000,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,49
165,CHMA-302_res600_mu800_sigma200_rate1053_aqOn.yuv,66,61,43,50,53,61,22,44,56,56,84,46,67,50,16,26,41,38,66,46,29,49,69,35,69,48,55,56,45,75,54,45,63,47,62,50,51,51.18918919,CHMA-302,600p,1053,800,On,FALSE,600p_800,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,27.94594595
166,CHMA-302_res2160_mu3000_sigma300_rate3401_aqOn.yuv,69,57,49,62,73,63,59,49,62,73,84,75,66,67,84,47,77,56,68,61,78,68,61,59,71,90,66,85,57,86,64,61,97,70,41,76,62,67.37837838,CHMA-302,2160p,3401,3000,On,FALSE,2160p_3000,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,11.75675676
167,CHMA-302_res1080_mu500_sigma100_rate629_aqOn.yuv,71,49,21,47,57,35,18,36,38,45,62,58,64,42,32,34,31,61,74,54,35,49,40,39,42,74,51,46,57,34,44,31,83,40,71,38,56,47.54054054,CHMA-302,1080p,629,500,On,FALSE,1080p_500,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.13513514,31.59459459
168,BTFB-01h05m40s_res2160_mu11200_sigma300_rate11099_aqOn.yuv,57,48,43,56,,86,49,65,66,55,85,83,81,64,89,64,64,42,51,50,73,59,42,61,60,49,77,65,35,72,69,80,81,80,73,75,46,63.75,BTFB-01h05m40s,2160p,11099,11200,On,TRUE,2160p_11200,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,-0.333333333
169,BTFB-01h05m40s_res2160_mu3000_sigma300_rate3123_aqOff.yuv,74,74,18,60,47,39,25,7,51,55,54,73,47,46,84,53,53,38,15,56,50,34,33,52,58,43,72,48,38,48,40,78,72,75,33,38,34,49.05405405,BTFB-01h05m40s,2160p,3123,3000,Off,TRUE,2160p_3000,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,14.36261261
170,BTFB-01h05m40s_res1080_mu500_sigma100_rate481_aqOn.yuv,22,8,20,23,4,14,12,10,16,35,63,32,38,28,16,19,14,8,6,36,40,12,5,30,60,39,25,23,5,11,28,35,52,25,49,16,4,23.86486486,BTFB-01h05m40s,1080p,481,500,On,TRUE,1080p_500,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,39.5518018
171,BTFB-01h05m40s_res2160_mu3000_sigma300_rate3123_aqOn.yuv,81,65,26,78,,69,29,61,59,66,78,77,72,50,67,46,34,30,30,72,60,50,34,65,42,80,71,64,29,51,62,78,79,79,61,63,57,58.75,BTFB-01h05m40s,2160p,3123,3000,On,TRUE,2160p_3000,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,4.666666667
172,BTFB-01h05m40s_res1080_mu1200_sigma100_rate1172_aqOff.yuv,78,49,25,36,28,52,32,38,59,54,81,59,56,40,46,32,21,21,24,47,64,28,11,57,37,56,67,41,51,41,64,30,62,49,32,46,35,44.56756757,BTFB-01h05m40s,1080p,1172,1200,Off,TRUE,1080p_1200,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,18.8490991
173,BTFB-01h05m40s_res2160_mu1000_sigma100_rate985_aqOn.yuv,45,15,15,14,7,23,4,36,10,7,18,48,49,19,40,44,2,2,1,37,34,5,10,18,46,17,25,36,14,9,14,53,37,20,20,21,15,22.43243243,BTFB-01h05m40s,2160p,985,1000,On,TRUE,2160p_1000,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,40.98423423
174,BTFB-01h05m40s_res720_mu1500_sigma100_rate1597_aqOn.yuv,71,75,27,62,65,72,35,32,66,73,67,66,62,55,34,50,48,42,81,64,73,43,13,57,72,74,57,57,50,57,70,79,75,70,60,74,43,58.67567568,BTFB-01h05m40s,720p,1597,1500,On,TRUE,720p_1500,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,4.740990991
175,BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOn.yuv,76,73,38,54,56,59,30,30,73,71,49,67,60,37,39,43,30,52,55,55,38,30,36,42,66,49,52,39,65,40,56,56,52,44,40,48,43,49.81081081,BTFB-01h05m40s,600p,779,800,On,TRUE,600p_800,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,13.60585586
176,BTFB-01h05m40s_res720_mu1500_sigma100_rate1597_aqOff.yuv,65,60,42,62,,41,52,32,63,66,67,69,54,49,38,48,42,28,57,68,45,60,48,59,46,75,51,36,9,52,59,65,73,71,61,44,43,52.77777778,BTFB-01h05m40s,720p,1597,1500,Off,TRUE,720p_1500,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,10.63888889
178,BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOff.yuv,63,58,33,61,16,51,26,23,53,32,63,44,49,37,38,51,34,21,31,54,36,39,49,43,31,45,49,55,57,44,53,61,63,43,65,40,37,44.54054054,BTFB-01h05m40s,600p,779,800,Off,TRUE,600p_800,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,18.87612613
179,BTFB-01h05m40s_res1080_mu5400_sigma300_rate5202_aqOn.yuv,61,90,43,65,72,59,47,37,63,72,79,77,81,60,37,55,78,12,52,53,49,46,75,72,80,50,65,75,62,48,59,75,74,75,53,63,42,60.97297297,BTFB-01h05m40s,1080p,5202,5400,On,TRUE,1080p_5400,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,2.443693694
180,BTFB-01h05m40s_res1080_mu1200_sigma100_rate1172_aqOn.yuv,68,37,39,68,45,66,4,60,31,49,46,60,62,44,23,45,38,31,28,27,50,31,56,48,40,43,64,41,71,41,56,62,59,81,35,49,36,46.86486486,BTFB-01h05m40s,1080p,1172,1200,On,TRUE,1080p_1200,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,63.41666667,16.5518018
181,EplLeyVsWre-day_res2160_mu1700_sigma0_rate1700_aqOn.yuv,17,38,32,37,,39,9,77,55,55,39,35,50,38,36,29,18,27,14,36,28,14,38,37,47,43,41,31,5,36,18,34,56,41,37,14,44,34.58333333,EplLeyVsWre-day,2160p,1700,1700,On,FALSE,2160p_1700,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,42.5518018
182,EplLeyVsWre-day_res1080_mu1200_sigma100_rate1327_aqOn.yuv,50,39,22,34,33,31,25,63,50,66,38,45,56,46,14,33,18,49,57,39,46,30,50,51,46,70,39,41,28,56,46,42,54,60,52,26,52,43.16216216,EplLeyVsWre-day,1080p,1327,1200,On,FALSE,1080p_1200,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,33.97297297
183,EplLeyVsWre-day_res2160_mu3000_sigma300_rate2906_aqOn.yuv,45,42,34,54,34,65,21,6,42,72,65,73,62,49,33,46,21,27,48,67,40,32,51,54,63,50,42,39,52,48,43,72,57,85,60,63,58,49.05405405,EplLeyVsWre-day,2160p,2906,3000,On,FALSE,2160p_3000,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,28.08108108
184,EplLeyVsWre-day_res2160_mu11200_sigma300_rate11327_aqOn.yuv,50,98,41,72,,91,26,92,81,84,61,44,79,48,47,69,77,65,71,41,75,48,60,64,61,80,81,65,85,76,54,86,92,92,56,72,99,68.97222222,EplLeyVsWre-day,2160p,11327,11200,On,FALSE,2160p_11200,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,8.162912913
185,EplLeyVsWre-day_res600_mu800_sigma200_rate835_aqOn.yuv,58,46,16,47,40,46,23,19,45,44,55,22,36,27,18,21,18,19,12,40,24,25,60,58,44,36,39,37,28,50,44,40,49,35,56,25,44,36.37837838,EplLeyVsWre-day,600p,835,800,On,FALSE,600p_800,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,40.75675676
186,EplLeyVsWre-day_res720_mu1500_sigma300_rate1565_aqOn.yuv,60,66,19,42,56,40,46,28,55,60,56,73,65,50,34,39,43,41,38,41,48,29,49,36,40,48,55,49,7,52,49,42,68,67,37,35,67,46.75675676,EplLeyVsWre-day,720p,1565,1500,On,FALSE,720p_1500,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,30.37837838
187,EplLeyVsWre-day_res1080_mu5400_sigma300_rate5841_aqOn.yuv,83,73,69,47,73,70,77,76,66,70,53,63,75,49,66,47,56,81,75,68,48,49,77,53,57,65,62,65,74,63,60,58,73,96,57,22,82,64.81081081,EplLeyVsWre-day,1080p,5841,5400,On,FALSE,1080p_5400,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,12.32432432
189,EplLeyVsWre-day_res1080_mu500_sigma100_rate455_aqOn.yuv,40,37,4,28,,13,5,16,14,32,21,18,13,9,1,14,3,11,1,20,2,4,19,24,5,21,17,8,2,10,28,17,26,7,23,4,10,14.63888889,EplLeyVsWre-day,1080p,455,500,On,FALSE,1080p_500,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.13513514,62.49624625
190,MSPY-2_res600_mu800_sigma200_rate839_aqOn.yuv,74,62,23,66,,64,37,58,62,87,74,62,78,53,59,49,61,73,74,60,49,42,74,50,67,70,49,59,45,42,55,57,50,58,43,50,94,59.16666667,MSPY-2,600p,839,800,On,FALSE,600p_800,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,75.86111111,16.69444444
